,   Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72800,Palmerston (C),2016,8688,100,12,896,13153,235,145,172,262,14945,592,249,166,1344,17296,1837,482,8458,10781,2.9,3940,447,2760,1064,340,130,8675,3.1,9379,4377,8108,43.9,42.7,2.2,7.9,3.3,85.1,11.4,1777,2374,55.5,27.3,5.9,1,7.9,15.9,1.9,475,7449,2052,8081,1126,1537,9,8.1,39.9,48.9,92.3,7.7,88.8,11.2,14.6,15.2,10.7,5.7,9,9,8,9,9,9,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73600,Roper Gulf (R),2011,96,90,-,30,472,6,11,39,879,1449,11,71,87,77,1695,197,36,841,1076,4.3,582,43,270,253,54,26,1216,3.8,1433,331,1798,47.5,38.7,4.6,5.7,3.4,-,-,309,1249,45.7,19.1,18.5,5.2,14.1,10.1,2.4,-,-,-,895,-,55,106,12.1,3.4,74.9,99.5,0.5,97.6,2.4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73600,Roper Gulf (R),2012,79,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73600,Roper Gulf (R),2013,84,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73600,Roper Gulf (R),2014,90,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73600,Roper Gulf (R),2015,96,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73600,Roper Gulf (R),2016,111,100,-,29,530,4,4,44,591,1220,16,56,71,74,1437,224,11,914,1157,4.2,600,58,337,244,75,45,1347,3.6,1534,426,1843,47,39.9,4.8,4.7,3.6,50.9,35.8,414,1121,48.2,21.5,13.6,4.1,8.8,11.3,2.2,497,277,235,800,110,40,179,10.4,2.7,72,99.7,0.3,94.8,5.2,30.9,-,30.1,-,1,1,1,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74050,Tiwi Islands (R),2011,-,-,3,22,227,-,8,8,407,686,11,7,26,8,738,82,10,472,560,4,251,33,136,86,39,25,565,3.7,524,308,776,38.2,51.8,5.1,2.7,2.4,-,-,172,-,58.8,23.1,12.7,1.9,11,10.4,2.4,-,-,-,491,-,65,3,1.1,1.3,91.9,100,-,96.5,3.5,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74050,Tiwi Islands (R),2012,20,203,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74050,Tiwi Islands (R),2013,21,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74050,Tiwi Islands (R),2014,36,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74050,Tiwi Islands (R),2015,32,193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74050,Tiwi Islands (R),2016,23,30,-,3,148,-,11,4,307,476,-,17,21,10,524,79,13,501,589,3.8,220,30,150,98,51,41,592,3.5,348,445,878,26.3,66.5,4.5,2,1,69.4,24.3,264,-,65.5,17.7,9.9,0.2,10.1,8.6,2.2,196,217,153,547,10,22,-,1.5,0.7,90.2,100,-,90.1,9.9,22.5,-,29.8,-,1,1,1,1,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74550,Victoria Daly (R),2011,86,100,-,37,340,8,3,16,459,866,18,108,69,35,1096,166,22,479,673,3.5,242,19,171,103,20,14,582,3.7,637,243,789,43.8,42.2,4.6,6.3,3.2,-,-,272,575,54.7,23,12.7,0.7,12.9,16.9,2.5,-,-,-,537,-,72,57,11.3,3.8,75.7,100,-,96.3,3.7,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74550,Victoria Daly (R),2012,76,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74550,Victoria Daly (R),2013,101,180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74550,Victoria Daly (R),2014,102,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74550,Victoria Daly (R),2015,124,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74550,Victoria Daly (R),2016,102,53,-,12,256,3,12,55,290,635,6,44,29,29,743,182,17,407,602,3.3,213,23,164,97,29,13,539,3.5,566,220,719,42.2,43.5,3.2,6.4,4.1,50,45.8,288,1108,49.1,14.6,11.7,2.6,11.4,11.9,2.4,154,247,146,491,39,12,59,14.3,2.8,74,99.5,0.5,94,6,41.2,-,47.8,-,1,1,1,1,5,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74560,Wagait (S),2011,69,75,-,5,44,-,3,-,8,71,97,8,3,20,199,54,6,106,163,2,23,-,61,10,-,-,105,2.6,125,49,101,41.5,29.1,5,21.4,4.3,-,-,603,2235,68.1,14.2,6.8,0.9,12.7,20.4,1.7,-,-,-,147,-,-,18,36,46,14.3,88.4,11.6,97.4,2.6,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74560,Wagait (S),2012,66,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74560,Wagait (S),2013,73,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74560,Wagait (S),2014,76,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74560,Wagait (S),2015,96,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74560,Wagait (S),2016,94,100,-,5,61,-,-,3,3,87,105,13,-,23,228,51,-,129,190,2.2,26,9,77,13,-,-,130,2.8,146,76,119,44.4,32.4,5.4,15.6,3.1,76.3,16.3,1010,1883,70.4,15.1,6.9,1,12.5,28.3,1.8,14,105,53,189,-,-,-,28.5,46.6,19.7,87.8,12.2,95.9,4.1,18.8,15.0,6.3,0.7,8,8,9,7,8,7,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74660,West Arnhem (R),2011,253,98,-,99,794,9,51,26,850,1852,34,31,71,151,2139,197,17,816,1028,4.2,603,48,258,239,53,23,1220,3.7,1557,244,1900,52,35.7,4.3,4.5,3.5,-,-,342,772,35,17.2,25.7,15.1,17.6,11.4,2.3,-,-,-,836,17,130,42,2.1,0.3,91.9,100,-,98.5,1.5,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74660,West Arnhem (R),2012,218,149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74660,West Arnhem (R),2013,213,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74660,West Arnhem (R),2014,224,134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74660,West Arnhem (R),2015,230,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74660,West Arnhem (R),2016,220,120,-,30,699,8,52,14,420,1236,-,12,93,108,1451,201,17,900,1123,4.2,620,44,343,193,72,42,1313,3.5,1701,272,1770,53.5,35.4,3.7,4.8,2.6,60.9,33.7,350,2925,33.3,21,19.3,9.7,13.1,11.2,2.1,460,372,230,853,136,51,71,2.3,0.4,90.4,100,-,95.7,4.3,24.1,0.3,36.5,1.1,1,1,1,1,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74680,West Daly (R),2011,-,-,-,13,167,3,3,4,367,570,-,7,16,21,611,65,13,425,496,4.9,337,28,88,148,28,10,634,4,595,315,852,37.9,53.8,4.3,2.5,1.8,-,-,281,-,30.2,35.8,23.3,7.7,12,5.4,2.5,-,-,-,451,-,24,27,-,-,96.7,100,-,89.7,10.3,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74680,West Daly (R),2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74680,West Daly (R),2013,21,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74680,West Daly (R),2014,32,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74680,West Daly (R),2015,30,155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74680,West Daly (R),2016,27,100,-,34,161,-,3,6,214,419,3,-,16,14,452,39,7,400,452,5.3,303,28,92,131,28,16,603,4,416,441,933,30.9,60.9,3.9,1.7,2.2,37.6,57.3,213,375,28.6,33.5,23.8,1.4,13.7,8.9,2.6,256,103,74,356,87,3,9,2.9,2.2,90.1,100,-,95.1,4.9,6.6,1.2,8.9,1.2,1,1,1,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79399,Unincorporated NT,2011,1206,140,3,340,2051,92,151,81,588,3339,69,134,60,424,4026,601,86,1537,2223,2.6,783,64,566,94,29,15,1559,3.2,1989,739,1293,44.9,41.9,1,8.6,3.5,-,-,472,1682,49.6,22.9,4,1.2,5.2,21.1,1.9,-,-,-,1313,369,310,211,10.5,6.1,78.5,98.8,1.2,95.7,4.3,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79399,Unincorporated NT,2012,1175,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79399,Unincorporated NT,2013,1300,205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79399,Unincorporated NT,2014,1276,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79399,Unincorporated NT,2015,1280,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79399,Unincorporated NT,2016,1380,200,-,171,2046,49,106,61,584,3037,77,115,59,348,3636,800,131,1416,2345,2.3,621,52,592,108,45,16,1435,3,1642,805,1587,42.3,42.5,1.5,9,4.7,75.9,16.9,668,1680,55.8,20.4,4,1.1,5.5,23.6,1.9,116,1105,883,1392,187,597,128,12.2,7.5,71.9,98.6,1.4,94.5,5.5,26.9,3.0,16.3,9.6,9,9,9,2,8,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89399,Unincorporated ACT,2011,107829,140,127,11024,135571,1799,4669,1321,8136,163954,3362,5314,1958,21032,195620,30249,7198,91979,129425,2.6,36656,6536,35150,9267,4336,1451,93397,3,124924,27590,105844,47.3,38.2,3.9,7.9,2.6,-,-,1535,2231,66,19.9,7.3,1.1,10.6,21.2,1.8,-,-,-,94267,18813,16070,230,28.4,38.9,30.6,92.2,7.8,92,8,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89399,Unincorporated ACT,2012,104289,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89399,Unincorporated ACT,2013,106764,155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89399,Unincorporated ACT,2014,106433,175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89399,Unincorporated ACT,2015,106814,195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89399,Unincorporated ACT,2016,103490,200,199,12208,142981,1971,5358,1380,9288,174389,3852,6309,1201,19668,205419,35413,6938,100308,142664,2.5,41412,6598,38438,9342,4780,1461,102036,3,135700,32493,113735,47.9,37.8,3.9,7.8,2.5,89.9,8,1629,2178,64.4,20.9,7.2,0.8,11.4,23.3,1.8,3702,104770,26012,95520,25280,21405,194,27,38.4,31.8,94.5,5.5,91.9,8.1,11.8,10.7,14.2,11.4,10,10,10,9,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99399,Unincorp. Other Territories,2011,227,124,-,62,673,41,24,34,120,1000,42,24,33,57,1156,138,21,536,695,2.8,240,54,207,48,23,8,581,3.1,884,95,521,53.1,38.6,2.2,3.5,2.2,-,-,649,1692,48.2,12.8,2.8,0.8,4.1,18.3,1.8,-,-,-,398,67,209,8,24.1,8.4,58.5,99.1,0.9,94.9,5.1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99399,Unincorp. Other Territories,2012,223,132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99399,Unincorp. Other Territories,2013,193,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99399,Unincorp. Other Territories,2014,219,155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99399,Unincorp. Other Territories,2015,209,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99399,Unincorp. Other Territories,2016,155,150,5,51,1387,52,16,27,159,1815,68,81,37,150,2151,369,20,980,1360,2.6,369,65,443,95,53,13,1023,2.9,1384,305,954,51.5,32,4.8,8.5,3.3,78.7,17.4,708,1547,57.3,16.4,5.8,0.7,10.2,25.8,1.8,70,948,242,1130,83,116,13,29.5,22,40.6,93.8,6.2,96.6,3.4,3.9,1.6,8.6,2.0,4,5,5,4,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Boundaries as at LGA 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,"data not available, not available for publication, nil or rounded to zero, including null cells",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
